,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,98,20,0.7000000000000001,0.6647907647907647,0.11949839227846742,0.7833333333333334,0.6291188193920785,0.9375478472745884
0,99,50,0.30000000000000004,0.8505050505050505,0.09781853630952964,0.5527777777777778,0.3691083518846478,0.7364472036709078
0,100,20,0.1,0.6455988455988456,0.14244361270694209,0.7888888888888889,0.6354565219329985,0.9423212558447794
0,101,20,0.30000000000000004,0.7444083694083694,0.08990142189099813,0.7277777777777779,0.5592427091228152,0.8963128464327406
0,102,45,4.0,0.7593795093795094,0.03147409933470082,0.625,0.4411867901673687,0.8088132098326313
0,103,35,0.7000000000000001,0.7884199134199135,0.08338376065875258,0.6138888888888889,0.4252087975183593,0.8025689802594185
0,104,20,0.1,0.686038961038961,0.11865515350588163,0.7055555555555556,0.4993461078364899,0.9117650032746215
0,105,20,0.1,0.7372655122655123,0.16366801371564826,0.586111111111111,0.3986954394877785,0.7735267827344435
0,106,30,0.9000000000000001,0.7615440115440115,0.12184393501370577,0.7555555555555555,0.6042546328654927,0.9068564782456183
0,107,20,0.06999999999999999,0.7753246753246753,0.05548776809258717,0.6,0.40537512234803674,0.794624877651963
0,108,25,0.30000000000000004,0.6325396825396825,0.13819429582877674,0.8472222222222223,0.7230705854626555,0.9713738589817892
0,109,20,2.0,0.7389610389610389,0.07945647695435785,0.6055555555555556,0.4181944114296984,0.7929166996814129
0,110,50,0.30000000000000004,0.7152958152958153,0.09328355625407023,0.6916666666666667,0.5167052797873186,0.8666280535460151
0,111,45,2.0,0.8114357864357864,0.08194876213850043,0.5499999999999999,0.3551354722477945,0.7448645277522056
0,112,30,0.7000000000000001,0.8171717171717173,0.11310163015783503,0.6083333333333334,0.42701751871790883,0.789649147948758
0,113,40,1.5,0.744083694083694,0.10235558993822394,0.7388888888888889,0.5757474710007746,0.9020303067770032
0,114,20,0.30000000000000004,0.6924603174603176,0.10860958641579588,0.7111111111111111,0.5468092100068287,0.8754130122153938
0,115,45,1.5,0.7782828282828284,0.08602072495292395,0.7166666666666668,0.548543930888035,0.8847894024452986
0,116,25,0.5000000000000001,0.7178210678210678,0.0913462085474339,0.7833333333333333,0.6338065827010002,0.9328600839656667
0,117,35,0.1,0.7827561327561328,0.10468087851203622,0.6666666666666667,0.46895737404540294,0.8643759592879305
0,118,20,8.0,0.846897546897547,0.06589748940434016,0.6083333333333333,0.4017911377160953,0.8148755289505715
0,119,35,0.7000000000000001,0.7313492063492063,0.03557547323532502,0.7027777777777778,0.5331956352799814,0.8723599202755745
0,120,50,0.5000000000000001,0.6575396825396825,0.06751330958756864,0.775,0.6270196936914761,0.9229803063085241
0,121,20,0.7000000000000001,0.764935064935065,0.12318060764531495,0.7166666666666667,0.5528585398519716,0.8804747934813619
0,122,40,0.9000000000000001,0.7914502164502164,0.11715872144111082,0.7138888888888889,0.5425602624374684,0.8852175153403097
0,123,20,0.30000000000000004,0.729112554112554,0.18196165232058573,0.7333333333333334,0.5723377620051644,0.8943289046615024
0,124,30,0.7000000000000001,0.7581168831168832,0.11310222849623866,0.6944444444444444,0.5274385491560181,0.8614503397328712
0,125,20,0.5000000000000001,0.746031746031746,0.1448742188195766,0.7805555555555557,0.6237301655718301,0.9373809455392812
0,126,35,0.30000000000000004,0.66991341991342,0.17683565409670532,0.8361111111111111,0.7052940591892138,0.9669281630330087
0,127,40,0.7000000000000001,0.6513347763347763,0.10351813161541525,0.7361111111111112,0.5719672804934872,0.9002549417287351
0,128,25,0.5000000000000001,0.79512987012987,0.04892157974503212,0.6666666666666666,0.4842560214485612,0.8490773118847723
0,129,20,2.0,0.7513347763347763,0.0801575287308834,0.6611111111111112,0.4807568749312404,0.841465347290982
0,130,40,0.9000000000000001,0.7896825396825398,0.11556737889514293,0.6972222222222222,0.5214964597211692,0.8729479847232756
0,131,30,2.0,0.7498917748917749,0.062006008755614975,0.6944444444444444,0.5126596220711892,0.8762292668177001
0,132,35,0.30000000000000004,0.818867243867244,0.0489316874326103,0.7166666666666667,0.5408565859188931,0.8924767474144405
0,133,30,2.0,0.7452380952380951,0.07509793210157767,0.6555555555555557,0.47705130265264795,0.8340598084584634
0,134,30,0.30000000000000004,0.6916666666666667,0.12900251313402833,0.7638888888888888,0.5973101631085165,0.9304676146692612
0,135,30,1.5,0.7437950937950938,0.048742780687489655,0.7083333333333334,0.5371923223570078,0.8794743443096592
0,136,50,0.7000000000000001,0.8127705627705627,0.06272026562944592,0.6305555555555555,0.4486386156642595,0.8124724954468516
0,137,30,1.5,0.7788239538239539,0.12943049284214556,0.7416666666666667,0.5701774670027391,0.9131558663305943
0,138,35,1.5,0.7711038961038961,0.07821946351940048,0.6527777777777778,0.4759694266558656,0.8295861288996902
0,139,45,0.30000000000000004,0.791991341991342,0.07167360713412423,0.6638888888888889,0.48097882512338086,0.8467989526543971
0,140,20,0.9000000000000001,0.8227272727272726,0.11047642748930021,0.6722222222222222,0.493781410175287,0.8506630342691576
0,141,25,2.0,0.7792929292929293,0.13571621315467935,0.7444444444444444,0.5613412284669658,0.9275476604219232
0,142,40,0.5000000000000001,0.7744588744588745,0.12876036989807516,0.6722222222222223,0.4994649987089651,0.8449794457354795
0,143,20,4.0,0.737987012987013,0.20623803754246262,0.7027777777777778,0.5308682555613855,0.8746872999941704
0,144,20,0.5000000000000001,0.751948051948052,0.07587390573698338,0.6805555555555556,0.5044655768393427,0.8566455342717685
0,145,20,2.0,0.7703102453102453,0.07130453322752583,0.6888888888888889,0.48636984032208336,0.8914079374556949
0,146,20,8.0,0.7413780663780665,0.08639051516519192,0.763888888888889,0.596550954442495,0.9312268233352827
0,147,20,0.5000000000000001,0.729906204906205,0.09820202639352117,0.7305555555555556,0.5613500049046135,0.8997611062064977
0,148,35,0.1,0.7516955266955268,0.14485803051032256,0.5777777777777777,0.38684832661541957,0.7687072289401359
0,149,30,0.9000000000000001,0.7652958152958153,0.09049654152711369,0.6416666666666667,0.44318645508972415,0.840146878243609
0,150,25,0.30000000000000004,0.8134920634920635,0.07521580138206764,0.6444444444444445,0.44500188995400225,0.8438869989348865
0,151,50,0.5000000000000001,0.5961399711399712,0.15190160637723835,0.7916666666666667,0.621857235245449,0.9614760980878845
0,152,35,2.0,0.772005772005772,0.13374261946165436,0.7138888888888889,0.5412547959398869,0.8865229818378911
0,153,20,0.1,0.7602813852813852,0.10170422195593547,0.7305555555555556,0.5657016013270595,0.8954095097840518
0,154,35,0.7000000000000001,0.779004329004329,0.07277018864221917,0.7111111111111111,0.5270286716027275,0.895193550619495
0,155,25,2.0,0.7838383838383838,0.07220178521930994,0.6888888888888889,0.5061570681828012,0.8716207095949771
0,156,20,0.9000000000000001,0.7128066378066378,0.10274334941203558,0.7888888888888889,0.6448188764863974,0.9329589012913806
