X1,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,0,50,0.08999999999999998,0.9507291666666667,0.02820513275786675,0.9545454545454545,0.9056150713175993,1.0
0,1,40,4.0,0.9473958333333334,0.016171015308604212,0.8653198653198654,0.7543740176979657,0.9762657129417652
0,2,30,1.0,0.9289583333333334,0.06403802039066757,0.9545454545454546,0.8910088857271947,1.0
0,3,45,0.30000000000000004,0.965625,0.028762074759037172,0.9023569023569024,0.7926868956657093,1.0
0,4,35,0.30000000000000004,0.9525,0.031358146203711315,0.8821548821548821,0.7716852045977427,0.992624559712022
0,5,50,0.30000000000000004,0.9430208333333334,0.03628171505348421,0.968013468013468,0.9291184149017325,1.0
0,6,35,0.30000000000000004,0.9373958333333334,0.03453623801329717,0.9511784511784511,0.8902148677636782,1.0
0,7,30,0.1,0.9521875,0.037151739341666254,0.8973063973063973,0.8058997135407006,0.9887130810720944
0,8,20,8.0,0.9278125000000002,0.022408184578655874,0.9410774410774411,0.8589019215853542,1.0
0,9,35,0.06999999999999999,0.9285416666666666,0.058316961988392,0.9410774410774411,0.8833243439588785,0.9988305381960039
0,10,35,0.30000000000000004,0.9371875,0.044550708467991806,0.9646464646464646,0.9202111407891783,1.0
0,11,50,6.0,0.9555208333333333,0.054457950776519125,0.867003367003367,0.7710025061888982,0.9630042278178362
0,12,50,0.7000000000000001,0.9383333333333332,0.05666666666666663,0.9343434343434343,0.8599908538747538,1.0
0,13,30,1.5,0.9485416666666667,0.057958617900092206,0.9410774410774412,0.882288819678026,0.9998660624768564
0,14,45,6.0,0.9334374999999999,0.038165961601930046,0.8939393939393939,0.7969587081740412,0.9909200797047468
0,15,45,2.0,0.9645833333333333,0.03033379120533551,0.8720538720538721,0.7789821256018461,0.9651256185058983
0,16,25,0.30000000000000004,0.9309375000000001,0.053330484949979606,0.9797979797979799,0.9469838111162666,1.0
0,17,20,0.06999999999999999,0.9104166666666668,0.03540440964374667,0.9410774410774411,0.8821419362974806,1.0
0,18,35,0.08999999999999998,0.9313541666666667,0.05194189127712277,0.9511784511784511,0.8988902812561003,1.0
0,19,25,0.5000000000000001,0.9136458333333334,0.05275442648620957,0.9023569023569022,0.8138604218992197,0.9908533828145852
0,20,50,0.30000000000000004,0.9147916666666667,0.024583333333333356,0.9747474747474747,0.9422735681087788,1.0
0,21,35,0.30000000000000004,0.9332291666666668,0.029989147342552668,0.9646464646464646,0.9226851352652637,1.0
0,22,20,0.9000000000000001,0.95875,0.02313907229485804,0.9006734006734007,0.8179836585483602,0.9833631427984413
0,23,30,0.08999999999999998,0.9442708333333334,0.03130897213437562,0.9242424242424243,0.8359309023838283,1.0
0,24,50,0.30000000000000004,0.9439583333333333,0.022825576541337253,0.9444444444444444,0.8852997873801066,1.0
0,25,45,0.5000000000000001,0.9372916666666666,0.044489777227783224,0.920875420875421,0.8428933659654263,0.9988574757854154
0,26,50,0.30000000000000004,0.9483333333333335,0.05011098792790968,0.867003367003367,0.7660934055282772,0.9679133284784572
0,27,30,0.08999999999999998,0.8939583333333333,0.06708333333333336,0.9764309764309764,0.9453469813624583,1.0
0,28,35,0.5000000000000001,0.9413541666666667,0.04800218817350353,0.9528619528619529,0.9022175251317164,1.0
0,29,50,0.5000000000000001,0.9685416666666666,0.03521018239720495,0.9006734006734006,0.8074579076817608,0.9938888936650406
0,30,40,0.1,0.9151041666666668,0.06302040289109198,0.9276094276094276,0.8294464521297985,1.0
