,Random_state,CV_AUC,CV_AUC_SD,Test_AUC,Test_AUC_lCI,Test_AUC_uCI
0,41,0.726,0.161,0.738,0.6164713924255157,0.8599536603542165
0,42,0.686,0.095,0.752,0.6342107580231395,0.8703634854673599
0,43,0.735,0.079,0.675,0.5468198107019479,0.8029338838793331
0,44,0.751,0.079,0.635,0.508963642913472,0.7605648581421228
0,45,0.697,0.04,0.763,0.6460994242798284,0.8795867122437464
0,46,0.711,0.071,0.761,0.6496393033836757,0.8732319140688226
0,47,0.733,0.059,0.679,0.5575450131697146,0.8006534386247963
0,48,0.747,0.088,0.662,0.5409412764261856,0.7834781465154048
0,49,0.714,0.055,0.716,0.5939023790137568,0.8374839686287487
0,50,0.729,0.019,0.667,0.5351273214270358,0.7991443182633231
