,SVC,RF,LASSO,ADA,mean
131,0.852,0.595,0.555,0.131,0.53325
132,0.0,0.081,0.0,0.019,0.025
133,0.478,0.346,0.001,0.017,0.2105
134,0.01,0.565,0.0,0.022,0.14925
135,0.0,0.06,0.0,0.025,0.021249999999999998
136,0.169,0.501,0.0,0.103,0.19325
137,0.042,0.552,0.0,0.175,0.19225000000000003
138,0.002,0.039,0.0,0.001,0.0105
139,0.029,0.209,0.0,0.007,0.06125
140,0.0,0.142,0.0,0.035,0.04425
141,0.108,0.476,0.0,0.056,0.16
142,0.625,0.206,0.05,0.011,0.223
143,0.551,0.118,0.001,0.068,0.1845
144,0.378,0.068,0.001,0.007,0.1135
145,0.993,0.333,0.84,0.02,0.5465
146,0.618,0.383,0.001,0.003,0.2512499999999999
147,0.023,0.116,0.0,0.005,0.036000000000000004
148,0.979,0.638,0.059,0.035,0.42774999999999996
149,0.007,0.105,0.0,0.005,0.02925
150,0.592,0.127,0.161,0.024,0.226
151,0.79,0.121,0.447,0.328,0.42150000000000004
152,0.591,0.211,0.077,0.037,0.22899999999999998
153,0.117,0.126,0.007,0.004,0.0635
154,0.046,0.16,0.001,0.06,0.06675
155,0.004,0.12,0.0,0.022,0.0365
156,0.0,0.153,0.0,0.077,0.057499999999999996
157,0.006,0.102,0.0,0.016,0.031
158,0.567,0.167,0.006,0.025,0.19125
159,0.805,0.2,0.042,0.022,0.26725000000000004
160,0.586,0.274,0.114,0.047,0.25525
161,0.446,0.442,0.02,0.028,0.234
162,0.022,0.288,0.0,0.018,0.082
163,0.796,0.073,0.252,0.025,0.2865
164,0.536,0.18,0.165,0.021,0.2255
165,0.415,0.113,0.013,0.009,0.1375
166,0.004,0.093,0.0,0.011,0.027
167,0.608,0.247,0.001,0.063,0.22975
168,0.002,0.146,0.0,0.045,0.04825
169,0.0,0.203,0.0,0.022,0.05625
170,0.0,0.001,0.0,0.0,0.00025
171,0.553,0.174,0.0,0.057,0.19600000000000004
172,0.582,0.106,0.222,0.217,0.28175
173,0.676,0.508,0.193,0.08,0.3642500000000001
174,0.043,0.282,0.0,0.008,0.08324999999999999
175,0.0,0.03,0.0,0.006,0.009
176,0.04,0.108,0.0,0.007,0.03875
177,0.343,0.279,0.0,0.026,0.16200000000000003
178,0.617,0.058,0.0,0.005,0.17
179,0.002,0.092,0.0,0.012,0.0265
180,0.0,0.067,0.0,0.004,0.017750000000000002
181,0.0,0.047,0.0,0.004,0.012750000000000001
182,0.858,0.373,0.18,0.019,0.35749999999999993
183,0.0,0.081,0.0,0.015,0.024
184,0.614,0.412,0.086,0.063,0.29375
185,0.0,0.05,0.0,0.008,0.0145
186,0.999,0.159,0.377,0.077,0.40299999999999997
187,0.008,0.474,0.0,0.043,0.13125
188,0.152,0.179,0.0,0.027,0.0895
189,0.231,0.135,0.0,0.005,0.09275
190,0.468,0.188,0.151,0.028,0.20875000000000002
191,0.698,0.334,0.002,0.174,0.302
192,0.742,0.19,0.011,0.022,0.24125
193,0.325,0.497,0.0,0.122,0.23600000000000002
194,0.361,0.149,0.0,0.022,0.133
195,0.308,0.386,0.001,0.136,0.20775
196,0.72,0.444,0.249,0.154,0.39174999999999993
197,0.359,0.126,0.0,0.007,0.123
198,0.339,0.194,0.0,0.047,0.14500000000000002
199,0.78,0.303,0.032,0.012,0.28175
200,0.935,0.625,0.59,0.327,0.61925
201,0.152,0.122,0.0,0.034,0.07700000000000001
202,0.13,0.209,0.0,0.005,0.086
203,0.164,0.136,0.0,0.045,0.08625000000000001
204,0.287,0.76,0.001,0.077,0.28124999999999994
205,0.006,0.135,0.017,0.03,0.04700000000000001
206,0.116,0.495,0.107,0.236,0.2385
207,0.159,0.136,0.0,0.01,0.07625000000000001
208,0.043,0.25,0.0,0.003,0.074
209,0.388,0.086,0.015,0.054,0.13575
210,0.254,0.31,0.0,0.007,0.14275000000000002
211,0.241,0.29,0.0,0.01,0.13524999999999998
212,0.015,0.165,0.0,0.006,0.0465
213,0.381,0.35,0.003,0.0,0.1835
214,0.36,0.356,0.003,0.007,0.1815
215,0.9,0.418,0.039,0.375,0.433
216,0.872,0.666,0.748,0.373,0.66475
217,0.335,0.088,0.02,0.034,0.11925000000000002
218,0.232,0.102,0.0,0.014,0.08700000000000001
219,0.467,0.197,0.153,0.01,0.20675000000000002
220,0.208,0.53,0.016,0.057,0.20275
221,0.199,0.257,0.003,0.053,0.128
222,0.534,0.176,0.0,0.026,0.184
223,0.287,0.105,0.003,0.006,0.10024999999999999
224,0.397,0.364,0.122,0.103,0.2465
225,0.208,0.748,0.012,0.056,0.256
226,0.427,0.15,0.002,0.013,0.148
227,0.135,0.158,0.0,0.011,0.07600000000000001
228,0.0,0.05,0.0,0.019,0.01725
229,0.152,0.093,0.0,0.009,0.0635
230,0.107,0.124,0.0,0.005,0.059
231,0.134,0.42,0.0,0.102,0.164
232,0.056,0.277,0.0,0.01,0.08575
233,0.353,0.068,0.002,0.08,0.12575
234,0.332,0.726,0.0,0.368,0.35650000000000004
235,0.685,0.283,0.163,0.229,0.34
236,0.406,0.214,0.186,0.046,0.21300000000000002
237,0.928,0.093,0.436,0.019,0.369
238,0.087,0.358,0.0,0.027,0.118
239,0.224,0.28,0.057,0.021,0.14550000000000002
240,0.049,0.226,0.0,0.147,0.10550000000000001
241,0.164,0.199,0.0,0.012,0.09375
242,0.104,0.555,0.001,0.012,0.168
243,0.479,0.289,0.008,0.172,0.237
244,0.814,0.073,0.291,0.088,0.3165
245,0.533,0.244,0.011,0.106,0.2235
246,0.695,0.431,0.186,0.82,0.5329999999999999
247,0.105,0.294,0.0,0.008,0.10175
248,0.0,0.098,0.0,0.026,0.031
249,0.0,0.093,0.0,0.006,0.02475
250,0.0,0.187,0.0,0.025,0.053
251,0.419,0.371,0.1,0.082,0.243
252,0.979,0.191,0.117,0.041,0.33199999999999996
253,0.439,0.137,0.004,0.023,0.15075000000000002
254,0.767,0.068,0.1,0.025,0.24
255,0.294,0.324,0.003,0.031,0.163
256,0.524,0.379,0.096,0.026,0.25625
257,0.334,0.071,0.0,0.014,0.10475000000000001
258,0.471,0.1,0.0,0.025,0.149
259,0.0,0.083,0.0,0.01,0.02325
260,0.295,0.085,0.0,0.01,0.0975
261,0.0,0.0,0.016,0.0,0.004
262,0.427,0.271,0.011,0.007,0.179
263,0.889,0.348,0.148,0.241,0.4065
264,0.327,0.219,0.0,0.029,0.14375000000000002
265,0.391,0.208,0.187,0.146,0.233
266,0.475,0.442,0.662,0.212,0.44775000000000004
267,0.013,0.08,0.0,0.007,0.025
268,0.0,0.088,0.0,0.014,0.0255
269,0.049,0.099,0.0,0.01,0.03950000000000001
270,0.562,0.109,0.0,0.219,0.2225
271,0.736,0.121,0.0,0.01,0.21675
272,0.036,0.147,0.0,0.031,0.0535
273,0.0,0.082,0.0,0.001,0.02075
274,0.0,0.107,0.0,0.0,0.02675
275,0.993,0.371,0.346,0.378,0.522
276,0.078,0.116,0.0,0.005,0.04975
277,0.333,0.564,0.005,0.414,0.329
278,0.0,0.123,0.0,0.001,0.031
279,0.997,0.997,0.212,0.532,0.6845
280,0.0,0.453,0.0,0.018,0.11775000000000001
281,0.0,0.173,0.0,0.007,0.045
282,0.231,0.089,0.0,0.014,0.0835
283,0.0,0.149,0.0,0.004,0.03825
284,0.721,0.308,0.231,0.032,0.323
285,0.024,0.056,0.0,0.012,0.023
286,0.0,0.987,0.0,0.047,0.2585
287,0.0,0.288,0.0,0.04,0.08199999999999999
288,1.0,0.995,0.292,0.581,0.717
289,0.471,0.156,0.281,0.009,0.22925
290,0.024,0.062,0.0,0.003,0.02225
291,0.0,0.295,0.0,0.001,0.074
292,0.18,0.607,0.001,0.006,0.19849999999999998
293,0.165,0.769,0.0,0.241,0.29375
294,0.0,0.138,0.0,0.006,0.036000000000000004
295,0.186,0.206,0.0,0.011,0.10075
296,0.0,0.237,0.0,0.007,0.061
297,0.0,0.15,0.0,0.07,0.055
298,0.017,0.007,0.0,0.0,0.006
299,0.021,0.006,0.0,0.0,0.006750000000000001
300,0.0,0.158,0.0,0.011,0.04225
301,0.004,0.235,0.0,0.001,0.06
302,0.26,0.104,0.053,0.038,0.11374999999999999
303,0.004,0.469,0.0,0.016,0.12225
304,0.271,0.357,0.0,0.005,0.15825
305,0.017,0.192,0.0,0.002,0.052750000000000005
306,0.607,0.332,0.004,0.044,0.24675000000000002
307,0.629,0.412,0.036,0.004,0.27025
308,0.205,0.052,0.0,0.005,0.0655
309,0.829,0.156,0.043,0.042,0.2675
310,0.21,0.045,0.01,0.026,0.07275000000000001
311,0.228,0.094,0.0,0.018,0.085
312,0.666,0.161,0.407,0.017,0.31275
313,0.0,0.156,0.0,0.029,0.04625
314,0.255,0.132,0.0,0.016,0.10075
315,0.453,0.084,0.01,0.01,0.13925
316,0.332,0.108,0.0,0.04,0.12
317,0.388,0.153,0.026,0.009,0.14400000000000002
318,0.0,0.379,0.0,0.016,0.09875
319,0.437,0.2,0.013,0.012,0.1655
320,0.0,0.217,0.0,0.002,0.05475
321,0.002,0.095,0.0,0.001,0.0245
322,0.381,0.162,0.0,0.002,0.13625
323,0.008,0.125,0.0,0.009,0.035500000000000004
324,0.0,0.06,0.0,0.04,0.025
325,0.05,0.15,0.0,0.007,0.051750000000000004
