,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,0,50,0.5000000000000001,0.8910714285714285,0.16944537377537797,0.9236111111111112,0.8066843876898169,1.0
0,1,30,0.30000000000000004,0.9232142857142858,0.07266782124777073,0.8263888888888888,0.6282585067004998,1.0
0,2,40,0.9000000000000001,0.88125,0.10532687216470447,0.9861111111111112,0.9531439686010499,1.0
0,3,35,0.30000000000000004,0.8928571428571429,0.10507680621374842,0.9305555555555556,0.8044192679193665,1.0
0,4,35,0.9000000000000001,0.9107142857142858,0.10308537426694003,0.8472222222222222,0.6785994557354691,1.0
0,5,30,0.5000000000000001,0.9098214285714284,0.11785714285714285,0.8194444444444444,0.6462332027197524,0.9926556861691365
0,6,35,0.30000000000000004,0.8678571428571429,0.06066174196951083,0.875,0.6899473424585807,1.0
0,7,45,4.0,0.9107142857142858,0.08661174509126982,0.8055555555555556,0.5608059325239265,1.0
0,8,20,1.0,0.9026785714285716,0.04625654945353078,0.875,0.7336282033840041,1.0
0,9,45,4.0,0.98125,0.037500000000000006,0.8402777777777778,0.678772422923245,1.0
0,10,35,0.9000000000000001,0.95,0.07288689868556626,0.8611111111111112,0.6969793265281489,1.0
0,11,35,1.5,0.8910714285714285,0.07284313590846835,0.9722222222222222,0.9202448882028818,1.0
0,12,35,0.30000000000000004,0.9258928571428571,0.06066174196951083,0.9166666666666666,0.8111788351174513,1.0
0,13,45,0.5000000000000001,0.8758928571428571,0.10189530441205076,0.9027777777777778,0.7763725164593921,1.0
0,14,25,1.5,0.8705357142857144,0.06275458353859137,0.9513888888888888,0.8769842319654925,1.0
0,15,40,0.7000000000000001,0.95,0.042389562394532926,0.8819444444444444,0.7356145004296845,1.0
0,16,40,0.9000000000000001,0.91875,0.09999999999999999,0.9097222222222223,0.78738841733332,1.0
0,17,20,8.0,0.8607142857142858,0.07156237467683528,0.9652777777777778,0.9054570500868545,1.0
0,18,50,0.9000000000000001,0.8482142857142858,0.1783927677677454,0.9513888888888888,0.8521135415844672,1.0
0,19,30,4.0,0.7874999999999999,0.1526132901372964,0.875,0.7385968067609043,1.0
0,20,50,0.30000000000000004,0.8455357142857143,0.1435418857309032,0.923611111111111,0.8043962324239629,1.0
0,21,20,1.5,0.8821428571428571,0.05007965593707201,0.875,0.6962877882622109,1.0
