,SVC,RF,LASSO,ADA,mean
131,0.592,0.263,0.137,0.372,0.34099999999999997
132,0.315,0.339,0.001,0.161,0.20400000000000001
133,0.235,0.21,0.041,0.136,0.15549999999999997
134,0.152,0.121,0.0,0.034,0.07675000000000001
135,0.763,0.817,0.069,0.286,0.48375
136,0.571,0.158,0.572,0.537,0.4595
137,0.447,0.388,0.244,0.31,0.34725
138,0.381,0.343,0.147,0.224,0.27375
139,0.51,0.009,0.046,0.067,0.15800000000000003
140,0.534,0.041,0.364,0.283,0.3055
141,0.529,0.22,0.579,0.316,0.411
142,0.495,0.1,0.619,0.354,0.392
143,0.387,0.621,0.157,0.175,0.335
144,0.32,0.993,0.059,0.305,0.41924999999999996
145,0.236,0.991,0.284,0.354,0.46624999999999994
146,0.742,0.804,0.949,0.771,0.8165
147,0.516,0.254,0.735,0.387,0.473
148,0.532,0.997,0.139,0.516,0.546
149,0.95,0.191,0.111,0.19,0.3605
150,0.509,0.03,0.049,0.132,0.18000000000000002
151,0.439,0.103,0.033,0.09,0.16625
152,0.28,0.162,0.17,0.119,0.18275000000000002
153,0.81,0.062,0.718,0.103,0.42325
154,0.121,0.572,0.001,0.088,0.19549999999999998
155,0.237,0.023,0.008,0.068,0.084
156,0.357,0.456,0.174,0.33,0.32925
157,0.456,0.361,0.248,0.513,0.39449999999999996
158,0.115,0.223,0.116,0.054,0.127
159,0.293,0.535,0.229,0.625,0.42050000000000004
160,0.909,0.676,0.653,0.248,0.6214999999999999
161,0.172,0.01,0.035,0.024,0.06025
162,0.104,0.045,0.01,0.02,0.04475
163,0.364,0.043,0.141,0.131,0.16974999999999998
164,0.207,0.033,0.048,0.008,0.074
165,0.287,0.649,0.0,0.231,0.29175
166,0.263,0.236,0.186,0.105,0.1975
167,0.667,0.274,0.555,0.188,0.421
168,0.373,0.026,0.062,0.083,0.136
169,0.464,0.154,0.049,0.201,0.21700000000000003
170,0.373,0.09,0.012,0.093,0.142
171,0.341,0.918,0.132,0.232,0.40575
172,0.059,0.1,0.923,0.298,0.34500000000000003
173,0.189,0.992,0.986,0.692,0.71475
174,0.366,0.118,0.198,0.061,0.18574999999999997
175,0.338,0.998,0.057,0.102,0.37375
176,0.218,0.916,0.417,0.159,0.42750000000000005
177,0.165,0.944,0.313,0.081,0.37575
178,0.189,0.658,0.283,0.112,0.3105
179,0.491,0.912,0.791,0.287,0.62025
180,0.506,0.366,0.113,0.03,0.25375
181,0.178,0.993,0.101,0.225,0.37425
182,0.428,0.998,0.997,0.767,0.7975
183,0.374,0.986,0.21,0.241,0.45275
184,0.206,0.262,0.051,0.354,0.21825
185,0.505,0.163,0.114,0.039,0.20525000000000002
